Time,Watts
2013-01-18 15:19:58 , 763
2013-01-18 15:20:07 , 763
2013-01-18 15:20:08 , 849
2013-01-18 15:20:26 , 849
2013-01-18 15:20:27 , 2446
2013-01-18 15:21:03 , 2446
2013-01-18 15:21:04 , 2025
2013-01-18 15:21:13 , 2025
2013-01-18 15:21:14 , 759
2013-01-18 15:21:24 , 759
2013-01-18 15:21:25 , 219
2013-01-18 15:21:34 , 219
2013-01-18 15:21:35 , 573
2013-01-18 15:21:44 , 573
2013-01-18 15:21:45 , 638
2013-01-18 15:21:54 , 638
2013-01-18 15:21:55 , 209
2013-01-18 15:22:04 , 209
2013-01-18 15:22:05 , 703
2013-01-18 15:22:23 , 703
2013-01-18 15:22:24 , 539
2013-01-18 15:22:34 , 539
2013-01-18 15:22:35 , 744
2013-01-18 15:22:44 , 744
2013-01-18 15:22:45 , 1144
2013-01-18 15:22:54 , 1144
2013-01-18 15:22:55 , 717
2013-01-18 15:23:04 , 717
2013-01-18 15:23:05 , 600
2013-01-18 15:23:14 , 600
2013-01-18 15:23:15 , 661
2013-01-18 15:23:24 , 661
2013-01-18 15:23:25 , 821
2013-01-18 15:23:34 , 821
2013-01-18 15:23:35 , 664
2013-01-18 15:23:54 , 664
2013-01-18 15:23:55 , 220
2013-01-18 15:24:04 , 220
2013-01-18 15:24:05 , 665
2013-01-18 15:24:14 , 665
2013-01-18 15:24:15 , 217
2013-01-18 15:24:42 , 217
2013-01-18 15:24:43 , 504
2013-01-18 15:25:01 , 504
2013-01-18 15:25:02 , 192
2013-01-18 15:25:11 , 192
2013-01-18 15:25:12 , 619
2013-01-18 15:25:21 , 619
2013-01-18 15:25:22 , 189
2013-01-18 15:25:31 , 189
2013-01-18 15:25:32 , 645
2013-01-18 15:25:41 , 645
2013-01-18 15:25:42 , 569
2013-01-18 15:25:52 , 569
2013-01-18 15:25:53 , 1069
2013-01-18 15:26:02 , 1069
2013-01-18 15:26:03 , 546
2013-01-18 15:26:12 , 546
2013-01-18 15:26:13 , 770
2013-01-18 15:26:22 , 770
2013-01-18 15:26:23 , 533
2013-01-18 15:26:32 , 533
2013-01-18 15:26:33 , 655
2013-01-18 15:27:26 , 655
2013-01-18 15:27:27 , 200
2013-01-18 15:27:36 , 200
2013-01-18 15:27:37 , 738
2013-01-18 15:27:46 , 738
2013-01-18 15:27:47 , 575
2013-01-18 15:27:57 , 575
2013-01-18 15:27:58 , 184
2013-01-18 15:28:07 , 184
2013-01-18 15:28:08 , 580
2013-01-18 15:28:17 , 580
2013-01-18 15:28:18 , 190
2013-01-18 15:28:27 , 190
2013-01-18 15:28:28 , 449
2013-01-18 15:28:37 , 449
2013-01-18 15:28:38 , 591
2013-01-18 15:28:47 , 591
2013-01-18 15:28:48 , 439
2013-01-18 15:28:58 , 439
2013-01-18 15:28:59 , 606
2013-01-18 15:29:08 , 606
2013-01-18 15:29:09 , 1004
2013-01-18 15:29:18 , 1004
2013-01-18 15:29:19 , 775
2013-01-18 15:29:28 , 775
2013-01-18 15:29:29 , 607
2013-01-18 15:30:22 , 607
2013-01-18 15:30:23 , 678
2013-01-18 15:30:32 , 678
2013-01-18 15:30:33 , 182
2013-01-18 15:30:42 , 182
2013-01-18 15:30:43 , 585
2013-01-18 15:30:52 , 585
2013-01-18 15:30:53 , 187
2013-01-18 15:31:02 , 187
2013-01-18 15:31:03 , 556
2013-01-18 15:31:13 , 556
2013-01-18 15:31:14 , 194
2013-01-18 15:31:31 , 194
2013-01-18 15:31:32 , 523
2013-01-18 15:31:41 , 523
2013-01-18 15:31:42 , 190
2013-01-18 15:31:51 , 190
2013-01-18 15:31:52 , 634
2013-01-18 15:32:01 , 634
2013-01-18 15:32:02 , 400
2013-01-18 15:32:12 , 400
2013-01-18 15:32:13 , 948
2013-01-18 15:32:22 , 948
2013-01-18 15:32:23 , 648
2013-01-18 15:32:32 , 648
2013-01-18 15:32:33 , 833
2013-01-18 15:32:50 , 833
2013-01-18 15:32:51 , 595
2013-01-18 15:33:00 , 595
2013-01-18 15:33:01 , 681
2013-01-18 15:33:20 , 681
2013-01-18 15:33:21 , 581
2013-01-18 15:33:46 , 581
2013-01-18 15:33:47 , 177
2013-01-18 15:33:56 , 177
2013-01-18 15:33:57 , 710
2013-01-18 15:34:06 , 710
2013-01-18 15:34:07 , 493
2013-01-18 15:34:17 , 493
2013-01-18 15:34:18 , 187
2013-01-18 15:34:27 , 187
2013-01-18 15:34:28 , 706
2013-01-18 15:34:37 , 706
2013-01-18 15:34:38 , 188
2013-01-18 15:34:47 , 188
2013-01-18 15:34:48 , 707
2013-01-18 15:35:06 , 707
2013-01-18 15:35:07 , 358
2013-01-18 15:35:16 , 358
2013-01-18 15:35:17 , 542
2013-01-18 15:35:35 , 542
2013-01-18 15:35:36 , 658
2013-01-18 15:35:45 , 658
2013-01-18 15:35:46 , 999
2013-01-18 15:35:55 , 999
2013-01-18 15:35:56 , 825
2013-01-18 15:36:05 , 825
2013-01-18 15:36:06 , 582
2013-01-18 15:36:25 , 582
2013-01-18 15:36:26 , 663
2013-01-18 15:36:35 , 663
2013-01-18 15:36:36 , 552
2013-01-18 15:36:54 , 552
2013-01-18 15:36:55 , 783
2013-01-18 15:37:04 , 783
2013-01-18 15:37:05 , 611
2013-01-18 15:37:14 , 611
2013-01-18 15:37:15 , 211
2013-01-18 15:37:24 , 211
2013-01-18 15:37:25 , 532
2013-01-18 15:37:35 , 532
2013-01-18 15:37:36 , 621
2013-01-18 15:37:45 , 621
2013-01-18 15:37:46 , 215
2013-01-18 15:37:55 , 215
2013-01-18 15:37:56 , 646
2013-01-18 15:38:05 , 646
2013-01-18 15:38:06 , 216
2013-01-18 15:38:15 , 216
2013-01-18 15:38:16 , 653
